0,0
0.0598,0
0.1196,0
0.1794,0
0.2392,0
0.299,0
0.3588,0
0.4186,0
0.4784,0
0.5382,0
0.598,0
0.6578,0
0.7176,0
0.7774,0
0.8372,0
0.897,0
0.9568,0
1,0
1,20
1,20
1.0446,20
1.0853,20
1.1432,20
1.203,20
1.2224,20
1.2224,20
1.2684,1.5941
1.3144,-9.098
1.3464,-11.038
1.3464,-11.038
1.3958,-7.894
1.4452,-2.2252
1.505,2.3246
1.5412,3.0082
1.5412,3.0082
1.601,1.8362
1.6608,0.051036
1.7206,-0.78744
1.736,-0.81891
1.736,-0.81891
1.7958,-0.49986
1.8556,-0.013894
1.9154,0.21436
1.9309,0.22293
1.9309,0.22293
1.9907,0.13608
2.0505,0.0037822
2.1103,-0.058356
2.1258,-0.060689
2.1258,-0.060689
2.1856,-0.037044
2.2454,-0.0010296
2.3052,0.015886
2.3206,0.016521
2.3206,0.016521
2.3804,0.010084
2.4402,0.0002803
2.5,-0.0043247
2.5155,-0.0044975
2.5155,-0.0044975
2.5753,-0.0027452
2.6351,-7.6305e-005
2.6949,0.0011773
2.7103,0.0012244
2.7103,0.0012244
2.7701,0.00074734
2.8299,2.0772e-005
2.8897,-0.00032049
2.9052,-0.00033331
2.9052,-0.00033331
2.965,-0.00020345
2.99,-0.0001149
